Name_1,Rainfall
Andaman and Nicobar,1821
Andhra Pradesh,950
Arunachal Pradesh,2872
Assam,2409
Bihar,1030
Chandigarh,1071
Chhattisgarh,950
Dadra and Nagar Haveli,2050
Daman and Diu,2061
Delhi,612
Goa,1999
Gujarat,1243
Haryana,615
Himachal Pradesh,1340
Jammu and Kashmir,998
Jharkhand,917
Karnataka,1779
Kerala,3073
Lakshadweep,1803
Madhya Pradesh,917
Maharashtra,1433
Manipur,1454
Meghalaya,3290
Mizoram,2794
NCT of Delhi,790
Nagaland,1715
Odisha,1502
Puducherry,1383
Punjab,780
Rajasthan,504
Sikkim,3494
Tamil Nadu,995
Telangana,923
Tripura,2228
Uttar Pradesh,1279
Uttarakhand,1523
West Bengal,2074
