State,Year_x,Rainfall,District_Name,Year_y,Season,Crop,Area,Production
Andaman and Nicobar Islands,1997,2755.1,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,1998,2846.4,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,1999,2699.7,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2000,2763.2,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2001,3080.9,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2002,2620.2,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2003,2355.9,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2004,2460.1,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2005,2954.7,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2006,2404.7,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2007,2748,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2008,3374.8,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2009,2538.6,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2010,3157.1,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2011,3828,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2012,3497.6,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2013,3757.8,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2014,2622.4,NICOBARS,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,2015,2904.6,NICOBARS,2000,Kharif     ,Rice,102,321
Arunachal Pradesh,1997,2274.9,ANJAW,2004,Kharif     ,Small millets,532,495
Arunachal Pradesh,1997,2274.9,ANJAW,2006,Whole Year ,Dry chillies,21,30
Arunachal Pradesh,1997,2274.9,ANJAW,2009,Whole Year ,Potato,120,1080
Arunachal Pradesh,1997,2274.9,ANJAW,2011,Kharif     ,Small millets,1381,1104
Arunachal Pradesh,1997,2274.9,CHANGLANG,2005,Whole Year ,Turmeric,80,408
Arunachal Pradesh,1997,2274.9,CHANGLANG,2011,Whole Year ,Turmeric,92,602
Arunachal Pradesh,1997,2274.9,DIBANG VALLEY,1999,Whole Year ,Dry chillies,75,130
Arunachal Pradesh,1997,2274.9,DIBANG VALLEY,2001,Rabi       ,Wheat,15,25
Arunachal Pradesh,1997,2274.9,DIBANG VALLEY,2008,Whole Year ,Potato,48,305
Arunachal Pradesh,1997,2274.9,EAST KAMENG,2005,Whole Year ,Potato,95,556
Arunachal Pradesh,1997,2274.9,EAST KAMENG,2009,Rabi       ,Wheat,28,57
Arunachal Pradesh,1997,2274.9,EAST SIANG,2011,Kharif     ,Small millets,2303,3098
Arunachal Pradesh,1997,2274.9,KURUNG KUMEY,2009,Kharif     ,Rice,500,615.33
Arunachal Pradesh,1997,2274.9,LOHIT,2000,Kharif     ,Rice,13980,13630
Arunachal Pradesh,1997,2274.9,LOHIT,2001,Kharif     ,Maize,5800,8120
Arunachal Pradesh,1997,2274.9,LOHIT,2001,Whole Year ,Dry ginger,716,7160
Arunachal Pradesh,1997,2274.9,LOHIT,2007,Kharif     ,Small millets,92,78
Arunachal Pradesh,1997,2274.9,LOHIT,2008,Whole Year ,Sugarcane,21,134
Arunachal Pradesh,1997,2274.9,LOHIT,2011,Whole Year ,Potato,778,7681
Arunachal Pradesh,1997,2274.9,LOHIT,2011,Whole Year ,Turmeric,123,618
Arunachal Pradesh,1997,2274.9,LOHIT,2013,Kharif     ,Maize,10325,12348
Arunachal Pradesh,1997,2274.9,LOWER DIBANG VALLEY,2010,Whole Year ,Dry chillies,76,83
Arunachal Pradesh,1997,2274.9,LOWER DIBANG VALLEY,2012,Kharif     ,Maize,8090,10517
Arunachal Pradesh,1997,2274.9,LOWER DIBANG VALLEY,2013,Kharif     ,Rice,14595,16058
Arunachal Pradesh,1997,2274.9,LOWER SUBANSIRI,1998,Rabi       ,Wheat,45,40
Arunachal Pradesh,1997,2274.9,PAPUM PARE,2012,Whole Year ,Sugarcane,197,3723
Arunachal Pradesh,1997,2274.9,TAWANG,2007,Whole Year ,Oilseeds total,185,233
Arunachal Pradesh,1997,2274.9,TAWANG,2012,Whole Year ,Dry ginger,20,50
Arunachal Pradesh,1997,2274.9,UPPER SIANG,2005,Kharif     ,Maize,1300,2600
Arunachal Pradesh,1997,2274.9,UPPER SIANG,2012,Whole Year ,Dry chillies,240,192
Arunachal Pradesh,1997,2274.9,UPPER SUBANSIRI,1998,Kharif     ,Small millets,875,1075
Arunachal Pradesh,1997,2274.9,UPPER SUBANSIRI,2004,Whole Year ,Oilseeds total,1155,1444
Arunachal Pradesh,1997,2274.9,UPPER SUBANSIRI,2006,Whole Year ,Dry ginger,127,1160
Arunachal Pradesh,1997,2274.9,UPPER SUBANSIRI,2011,Kharif     ,Small millets,1295,1820
Arunachal Pradesh,1997,2274.9,WEST SIANG,2000,Kharif     ,Maize,3305,4002
Arunachal Pradesh,1997,2274.9,WEST SIANG,2001,Whole Year ,Pulses total,650,645
Arunachal Pradesh,1997,2274.9,WEST SIANG,2007,Whole Year ,Dry chillies,157,235
Arunachal Pradesh,1998,3616.7,ANJAW,2004,Kharif     ,Small millets,532,495
Arunachal Pradesh,1998,3616.7,ANJAW,2006,Whole Year ,Dry chillies,21,30
Arunachal Pradesh,1998,3616.7,ANJAW,2009,Whole Year ,Potato,120,1080
Arunachal Pradesh,1998,3616.7,ANJAW,2011,Kharif     ,Small millets,1381,1104
Arunachal Pradesh,1998,3616.7,CHANGLANG,2005,Whole Year ,Turmeric,80,408
Arunachal Pradesh,1998,3616.7,CHANGLANG,2011,Whole Year ,Turmeric,92,602
